Epoch,Training Loss,Validation Loss,Training MSE,Validation MSE,Training MAE,Validation MAE
1,1.9155724048614502,1.2220443487167358,0.8400211930274963,0.1578461229801178,0.4464004933834076,0.24866893887519836
2,1.0638476610183716,1.0933363437652588,0.031117167323827744,0.09705080091953278,0.135163351893425,0.2336004078388214
3,0.9807636141777039,0.9471948742866516,0.02392696775496006,0.03240993618965149,0.11762022227048874,0.13802126049995422
4,0.8933457732200623,0.8639518618583679,0.020847536623477936,0.034772925078868866,0.10910120606422424,0.13970227539539337
5,0.8079078793525696,0.7760348320007324,0.020037293434143066,0.03177753835916519,0.10627547651529312,0.1372431218624115
6,0.7245855331420898,0.695921778678894,0.02051261067390442,0.03284328803420067,0.10774146020412445,0.13968878984451294
7,0.645618200302124,0.6155375838279724,0.020090628415346146,0.02837020345032215,0.10648892819881439,0.12716880440711975
8,0.5718366503715515,0.5421018004417419,0.01924685575067997,0.024462029337882996,0.10453793406486511,0.12248703837394714
9,0.5054022073745728,0.4779638648033142,0.01903442107141018,0.023455467075109482,0.10342247039079666,0.12226089835166931
10,0.4447934329509735,0.42417579889297485,0.018570786342024803,0.026260970160365105,0.10240184515714645,0.1296108067035675
11,0.3908124268054962,0.37840092182159424,0.01809069886803627,0.030835619196295738,0.10115177929401398,0.14451877772808075
12,0.34203898906707764,0.32383471727371216,0.016783665865659714,0.020874612033367157,0.09683745354413986,0.1117841973900795
13,0.3006024956703186,0.2865006923675537,0.01719512604176998,0.022767668589949608,0.09725400060415268,0.11774476617574692
14,0.26290082931518555,0.2531539797782898,0.016595693305134773,0.023897845298051834,0.09555221349000931,0.12352152913808823
15,0.23010550439357758,0.22233334183692932,0.016030069440603256,0.023315392434597015,0.09302037209272385,0.1241980567574501
16,0.20115655660629272,0.19611786305904388,0.015260015614330769,0.023404384031891823,0.09094531089067459,0.11892645806074142
17,0.17617107927799225,0.17370149493217468,0.015073486603796482,0.024060048162937164,0.09015218913555145,0.12185945361852646
18,0.15512095391750336,0.14648129045963287,0.015470419079065323,0.01676104962825775,0.09126557409763336,0.0993870198726654
19,0.1360977739095688,0.12919455766677856,0.015027215704321861,0.016867846250534058,0.090726338326931,0.09866423159837723
20,0.11927346140146255,0.11663096398115158,0.014560197480022907,0.019439829513430595,0.08767617493867874,0.11039552092552185
21,0.10520520806312561,0.10381180047988892,0.014561409130692482,0.01962367817759514,0.08865324407815933,0.10734529048204422
22,0.09290962666273117,0.09028097242116928,0.014473906718194485,0.017547225579619408,0.08711128681898117,0.10524255037307739
23,0.08145827800035477,0.093065045773983,0.01354567427188158,0.030215827748179436,0.08592059463262558,0.13781248033046722
24,0.07292453944683075,0.0711100623011589,0.014277735725045204,0.016724253073334694,0.08656860142946243,0.10193230211734772
25,0.06468470394611359,0.06710377335548401,0.013992792926728725,0.020025985315442085,0.08654430508613586,0.11081542074680328
26,0.056353699415922165,0.05506613850593567,0.012444567866623402,0.014379824511706829,0.08098328113555908,0.08885747194290161
27,0.050282061100006104,0.05203838646411896,0.01240504253655672,0.016882680356502533,0.08109141886234283,0.09803950041532516
28,0.0454186275601387,0.04639781266450882,0.012645493261516094,0.015971556305885315,0.08166930079460144,0.09725598245859146
29,0.0405396893620491,0.041378699243068695,0.012194586917757988,0.01515351515263319,0.0796121135354042,0.09280194342136383
30,0.03600575774908066,0.03948741778731346,0.011553389020264149,0.016839252784848213,0.07730208337306976,0.10131267458200455
31,0.033156681805849075,0.036914121359586716,0.012004990130662918,0.01730245165526867,0.07985232025384903,0.09941011667251587
32,0.029042085632681847,0.03739389404654503,0.010751216672360897,0.02044440247118473,0.07426406443119049,0.11167602986097336
33,0.027266500517725945,0.03895776718854904,0.01143590733408928,0.024316631257534027,0.0774800032377243,0.10794129967689514
34,0.024954358115792274,0.03125616908073425,0.011275343596935272,0.01856081746518612,0.07701358944177628,0.1016760841012001
35,0.023111579939723015,0.02723538875579834,0.011241337284445763,0.01619550585746765,0.07630845159292221,0.09632303565740585
36,0.02182181552052498,0.024118438363075256,0.011537655256688595,0.014569742605090141,0.07829653471708298,0.0881662666797638
37,0.02037414163351059,0.023623226210474968,0.011426652781665325,0.015288270078599453,0.07796769589185715,0.09526196122169495
38,0.018133556470274925,0.023897478356957436,0.010384411551058292,0.016682662069797516,0.07432731986045837,0.09642595797777176
39,0.017108414322137833,0.02527453936636448,0.010370546951889992,0.018986564129590988,0.07383907586336136,0.10735069960355759
40,0.016436772421002388,0.02618037350475788,0.010510764084756374,0.020683230832219124,0.07419691234827042,0.11427471786737442
41,0.015756119042634964,0.026387736201286316,0.01060132123529911,0.021628906950354576,0.07616407424211502,0.10979124903678894
42,0.014513717032968998,0.03179502487182617,0.01000624243170023,0.027585167437791824,0.07238209992647171,0.12883959710597992
43,0.013719487935304642,0.020234214141964912,0.00971562322229147,0.016425082460045815,0.07141225785017014,0.09807462245225906
44,0.012277440167963505,0.02203274331986904,0.008645863272249699,0.018602730706334114,0.06723639369010925,0.10170695930719376
45,0.01250474713742733,0.023976899683475494,0.009220777079463005,0.02083776518702507,0.06846466660499573,0.11226533353328705
46,0.012327627278864384,0.021454809233546257,0.009319053962826729,0.018569644540548325,0.06987974792718887,0.10117774456739426
47,0.012040295638144016,0.01844961568713188,0.009282493963837624,0.015773631632328033,0.0694739893078804,0.0977405533194542
48,0.011055747047066689,0.016870329156517982,0.008517005480825901,0.014439272694289684,0.0667390525341034,0.0880529060959816
49,0.0110807865858078,0.019954079762101173,0.008762153796851635,0.017742322757840157,0.06762223690748215,0.09706855565309525
50,0.011645045131444931,0.016505509614944458,0.00951254554092884,0.014438187703490257,0.07066966593265533,0.09182555973529816
51,0.010611198842525482,0.02065792866051197,0.008614136837422848,0.01876050978899002,0.06717028468847275,0.10623789578676224
52,0.010239017195999622,0.018698962405323982,0.00839426089078188,0.0169549398124218,0.0660281553864479,0.09789829701185226
53,0.00972786545753479,0.0176937747746706,0.008032776415348053,0.016065381467342377,0.06483522057533264,0.09638450294733047
54,0.010240048170089722,0.017596464604139328,0.008656449615955353,0.016055963933467865,0.06798166036605835,0.09120792895555496
55,0.010235670953989029,0.028676996007561684,0.00876028835773468,0.027239158749580383,0.06788451224565506,0.12954920530319214
56,0.01024529617279768,0.018944913521409035,0.008860724046826363,0.017569396644830704,0.06826527416706085,0.09980759024620056
57,0.010179394856095314,0.030471457168459892,0.008860306814312935,0.029131323099136353,0.0683051124215126,0.11533498018980026
58,0.00976830068975687,0.018888967111706734,0.008487946353852749,0.0176622923463583,0.0666687935590744,0.09837900102138519
